date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:41	47349/47349	---M--	200	added ('OK')	image/jpeg	etag:%220856b209fe92021e24ecbbbf38730863%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3ed59b8f72d653b37_product_a_coriander.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3ed59b8f72d653b37_product_a_coriander.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:41	48711/48711	---M--	200	added ('OK')	image/jpeg	etag:%22856020150988e9289a2cee910295e88a%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d49c495e7e7f54a67_002_chili_plate.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d49c495e7e7f54a67_002_chili_plate.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:42	65421/65421	---M--	200	added ('OK')	image/jpeg	etag:%228d224befda1fec0f8587fe41b508daad%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d0df5e911ae224ff3_005_zatar_plate.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d0df5e911ae224ff3_005_zatar_plate.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:42	563553/563553	---M--	200	added ('OK')	image/jpeg	etag:%22dd44a615aedc893b0550aa412baee2d3%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2a1919d53e408419a3d8d_region.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2a1919d53e408419a3d8d_region.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:42	64900/64900	---M--	200	added ('OK')	image/jpeg	etag:%228d3cca3e877cf9ee9a4c2e3463cf4086%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d8a49697a6cbaab01_006_baharat_plate.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d8a49697a6cbaab01_006_baharat_plate.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:43	80940/80940	---M--	200	added ('OK')	image/jpeg	etag:%22eedd163ea487ecb8aedbb96e68ac7f82%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d67986c47f9d15950_003_fennel_plate.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2855d67986c47f9d15950_003_fennel_plate.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:44	30102/30102	---M--	200	added ('OK')	image/jpeg	etag:%22e02d04f7d29322c5aa68ddc71c51fddd%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e80e8c670bf417f29_008_coriander_large.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e80e8c670bf417f29_008_coriander_large.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:44	31163/31163	---M--	200	added ('OK')	image/jpeg	etag:%22dd326cbc8fa47f14996588a1eaf55eab%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e57e59b72503ebc12_007_cumin_large.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e57e59b72503ebc12_007_cumin_large.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:44	32369/32369	---M--	200	added ('OK')	image/jpeg	etag:%22a775fa4b55d88cc17aac6ba54c315c52%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2879eea9482f7a34c1442_006_baharat_large.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2879eea9482f7a34c1442_006_baharat_large.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:45	30796/30796	---M--	200	added ('OK')	image/jpeg	etag:%22ad3dce3cf7f06bdb962f6a95f13f716a%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e6ec9b0eef3df8aba_005_zatar_large.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e6ec9b0eef3df8aba_005_zatar_large.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:45	30535/30535	---M--	200	added ('OK')	image/jpeg	etag:%22aa74ec1b98a9d01c2d60a5f71f153d3a%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e80e8c68666417f28_003_fennel_large.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60b2879e80e8c68666417f28_003_fennel_large.jpg	(from https://www.jaro.io/projects/sos-foods)
